component_id,arm,n_attempts,n_unique,unique_fraction,mean_position_entropy_nats,mean_pairwise_hamming_fraction,developability_pass_fraction_at_0_55,mean_full_heavy_developability_risk,mean_native_recovery,unique_fraction_seed_std,position_entropy_seed_std
V2C006,current_bfn_disorder_off,24,20,0.8333333333333334,2.3935831324532986,0.9323035850495803,0.625,0.4820666666666667,0.09429824561403512,0.0,0.008896880768319789
V2C006,stage_a_antibody_bfn,24,20,0.8333333333333334,2.302979422066792,0.913996948893974,0.5,0.5078708333333333,0.1491228070175439,0.0,0.013078625709648805
V2C006,proteinmpnn,24,24,1.0,0.36670338091373084,0.21205186880244087,1.0,0.38972500000000004,0.5043859649122807,0.0,0.03564627690014483
V2C006,esm_if,24,5,0.20833333333333334,0.08292264387551371,0.05282227307398932,0.9583333333333334,0.5181166666666667,0.3991228070175439,0.05892556509887896,0.0018374529862387942
V2C007,current_bfn_disorder_on,24,20,0.8333333333333334,2.407619566920528,0.9351119894598157,1.0,0.4267541666666667,0.10606060606060608,0.0,0.03009891423557843
V2C007,current_bfn_disorder_off,24,20,0.8333333333333334,2.3180463677558154,0.9199604743083004,1.0,0.42172500000000007,0.1818181818181818,0.0,0.013668191958983472
V2C007,stage_a_antibody_bfn,24,20,0.8333333333333334,2.3301399557720144,0.9252305665349143,1.0,0.43772916666666667,0.12499999999999999,0.0,0.0406231125447367
V2C007,proteinmpnn,24,15,0.625,0.2856896604281701,0.17358366271409748,1.0,0.3615541666666666,0.34848484848484845,0.05892556509887896,0.026634399622155653
V2C007,esm_if,24,1,0.041666666666666664,0.0,0.0,1.0,0.5274,0.18181818181818177,0.0,0.0
V2C008,current_bfn_disorder_on,24,20,0.8333333333333334,2.3950132749646356,0.9327122153209111,0.75,0.46248333333333336,0.09523809523809523,0.0,0.028650356623599448
V2C008,current_bfn_disorder_off,24,20,0.8333333333333334,2.281636707816153,0.910455486542443,0.8333333333333334,0.44636666666666663,0.19345238095238096,0.0,0.03239503012749988
V2C008,stage_a_antibody_bfn,24,20,0.8333333333333334,2.2189997237887904,0.8975155279503106,0.7916666666666666,0.45565833333333333,0.2261904761904762,0.0,0.06404694539331261
V2C008,proteinmpnn,24,22,0.9166666666666666,0.40931714884624165,0.24560041407867492,1.0,0.4034,0.29464285714285715,0.0,0.021858251166654276
V2C008,esm_if,24,7,0.2916666666666667,0.20251898120279707,0.1392339544513457,0.0,0.6603208333333334,0.18452380952380953,0.10206207261596575,0.0235686410440301
V2C009,current_bfn_disorder_on,24,20,0.8333333333333334,2.404078259951789,0.9329710144927537,0.5,0.5327833333333333,0.057291666666666664,0.0,0.003178467879007108
V2C009,current_bfn_disorder_off,24,20,0.8333333333333334,2.2835796631525644,0.9073822463768116,0.5,0.5352333333333333,0.125,0.0,0.045403789612280386
